"heterogeneity","tau","replicate","model","site","status","message"
"moderate",10,10,"Federated: site-specific slopes","3","ok",""
"moderate",10,10,"Federated: site-specific slopes","4","ok",""
"moderate",10,10,"Federated: site-specific slopes","5","ok",""
"moderate",10,10,"Pooled site FE: shared slopes","Overall","ok",""
"high",10,10,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",10,10,"Federated: site-specific slopes","2","ok",""
"high",10,10,"Federated: site-specific slopes","3","ok",""
"high",10,10,"Federated: site-specific slopes","4","ok",""
"high",10,10,"Federated: site-specific slopes","5","ok",""
"high",10,10,"Pooled site FE: shared slopes","Overall","ok",""
"low",15,10,"Federated: site-specific slopes","1","ok",""
"low",15,10,"Federated: site-specific slopes","2","ok",""
"low",15,10,"Federated: site-specific slopes","3","ok",""
"low",15,10,"Federated: site-specific slopes","4","ok",""
"low",15,10,"Federated: site-specific slopes","5","ok",""
"low",15,10,"Pooled site FE: shared slopes","Overall","ok",""
"moderate",15,10,"Federated: site-specific slopes","1","ok",""
"moderate",15,10,"Federated: site-specific slopes","2","ok",""
"moderate",15,10,"Federated: site-specific slopes","3","ok",""
"moderate",15,10,"Federated: site-specific slopes","4","ok",""
"moderate",15,10,"Federated: site-specific slopes","5","ok",""
"moderate",15,10,"Pooled site FE: shared slopes","Overall","ok",""
"high",15,10,"Federated: site-specific slopes","1","warning","glm.fit: fitted probabilities numerically 0 or 1 occurred"
"high",15,10,"Federated: site-specific slopes","2","ok",""
"high",15,10,"Federated: site-specific slopes","3","ok",""
"high",15,10,"Federated: site-specific slopes","4","ok",""
"high",15,10,"Federated: site-specific slopes","5","ok",""
"high",15,10,"Pooled site FE: shared slopes","Overall","ok",""
